"nearest_warehouse","order_price","delivery_charges","customer_lat","customer_long","coupon_discount","order_total","season","is_expedited_delivery","distance_to_nearest_warehouse","is_happy_customer"
"Thompson",14170,82.27,-37.8017591,144.9632047,10,12835.27,"Winter","True",1.8681,"True"
"Bakers",9035,108.57,-37.8009524,145.0120941,0,9143.57,"Spring","True",1.7925,"True"
"Thompson",14010,80.66,-37.808393,144.9593275,5,13390.16,"Winter","True",1.1787,"True"
"Nickolson",5545,74.21,-37.818926,144.9624821,0,5619.21,"Spring","False",0.6227,"True"
"Thompson",23440,55.54,-37.8113504,144.9534781,0,23495.54,"Summer","False",0.5826,"False"
"Thompson",26845,68.49,-37.8004553,144.9485174,5,25571.24,"Autumn","False",1.366,"False"
"Bakers",32745,67.8,-37.8126057,145.0110143,15,27901.05,"Winter","False",1.418,"True"
"Nickolson",12790,75.04,-37.8103989,144.9726914,15,10946.54,"Summer","False",0.9532,"True"
"Bakers",7050,66.79,-37.7987935,144.9827307,25,5354.29,"Winter","True",1.6625,"False"
"Nickolson",15660,87.96,-37.8154546,144.9704567,0,15747.96,"Summer","True",0.3585,"True"
"Nickolson",3030,67.47,-37.8091486,144.9609023,10,2794.47,"Winter","False",1.2783,"True"
"Thompson",14950,101.06,-37.8122336,144.9365521,15,12808.56,"Spring","True",0.9262,"False"
"Nickolson",24400,72.67,-37.8154669,145.0135513,15,20812.67,"Spring","False",0.4457,"True"
"Nickolson",25760,99.42,-37.8228607,144.9665714,0,25859.42,"Spring","True",0.5423,"True"
"Bakers",18295,79.5,-37.8185923,145.0052383,10,16545,"Summer","True",1.3,"True"
"Bakers",14065,77.64,-37.808839,144.9834904,25,10626.39,"Spring","False",1.0406,"False"
"Nickolson",7170,66.4,-37.8069927,144.9729476,0,7236.4,"Autumn","False",1.3256,"True"
"Nickolson",4630,76.93,-37.8233794,144.9766338,0,4706.93,"Spring","False",0.8195,"True"
"Nickolson",23660,49.88,-37.8201199,144.9669823,25,17794.88,"Autumn","False",0.2826,"False"
"Thompson",24310,52.69,-37.8012858,144.9457072,15,20716.19,"Autumn","False",1.2733,"False"
"Thompson",6555,64.09,-37.8214382,144.9456191,25,4980.34,"Autumn","True",0.984,"False"
"Thompson",6910,78.46,-37.8190391,144.9467214,5,6642.96,"Autumn","True",0.7093,"True"
"Bakers",15080,102.58,-37.8173222,145.0040415,0,15182.58,"Spring","True",1.1248,"True"
"Nickolson",13520,73.65,-37.8233588,144.9785671,0,13593.65,"Spring","False",0.9538,"True"
"Thompson",13315,64.27,-37.81703,144.9518402,0,13379.27,"Winter","False",0.6413,"True"
"Bakers",16720,76.68,-37.8053812,144.987412,15,14288.68,"Spring","False",0.8584,"True"
"Nickolson",5180,80.53,-37.809841,144.9763289,25,3965.53,"Spring","False",1.1423,"True"
"Bakers",2525,68.51,-37.8097225,144.9903011,15,2214.76,"Summer","False",0.7443,"True"
"Thompson",22520,81.36,-37.811881,145.0120477,15,19223.36,"Spring","False",1.4937,"True"
"Bakers",2090,83.97,-37.822806,145.0093369,5,2069.47,"Summer","False",1.8899,"True"
"Nickolson",19250,48.55,-37.8182266,144.9651144,10,17373.55,"Autumn","False",68.8892,"False"
"Thompson",9145,62.41,-37.8061754,144.9445034,10,8292.91,"Autumn","True",0.7577,"True"
"Bakers",3552,72.82,-37.8097839,144.9932567,10,2421.82,"Winter","True",0.1753,"True"
"Bakers",22430,78.69,-37.8061658,144.9995386,15,19144.19,"Autumn","True",0.5703,"True"
"Nickolson",12135,82.48,-37.8050795,144.9745234,25,9183.73,"Autumn","True",1.5668,"True"
"Thompson",9200,82.37,-37.8126709,144.9426601,10,8362.37,"Spring","True",0.3877,"False"
"Bakers",17260,64.3,-37.8175356,144.989861,15,14735.3,"Winter","False",0.9631,"True"
"Nickolson",28260,65.39,-37.8233446,144.9814779,10,25499.39,"Winter","True",1.1745,"False"
"Bakers",11175,69.64,-37.8244324,144.988745,5,10685.89,"Winter","False",1.7053,"True"
"Nickolson",14420,58.19,-37.8216013,144.961298,5,13757.19,"Summer","False",0.7992,"False"
"Thompson",12510,70.02,-37.799787,144.9579614,10,11329.02,"Autumn","False",1.7249,"True"
"Thompson",8965,94.3,-37.8161151,144.9570842,10,8162.8,"Summer","True",0.9605,"True"
"Thompson",24800,80.23,-37.8064775,144.9614999,0,24880.23,"Winter","True",1.4444,"True"
"Nickolson",5210,62.58,-37.8219224,144.9685203,25,3970.08,"Winter","False",0.3813,"True"
"Nickolson",33440,62.73,-37.8129752,144.9619223,25,25142.73,"Winter","True",0.9173,"False"
"Thompson",11220,78.33,-37.8087165,144.9537162,0,11298.33,"Winter","True",0.7319,"True"
"Nickolson",21210,60.61,-37.8178333,144.9621506,0,21270.61,"Spring","False",0.869,"False"
"Nickolson",1660,66.4,-37.8095278,144.972628,0,1726.4,"Summer","False",1.045,"True"
"Thompson",23180,64.98,-37.8155841,144.9452766,25,17449.98,"Autumn","False",0.3603,"True"
"Bakers",13530,79.19,-37.8082783,144.9826774,10,12256.19,"Spring","False",1.1206,"True"
"Nickolson",10325,82.78,-37.8076984,145.0194326,15,8859.03,"Autumn","True",1.3732,"True"
"Bakers",10015,97.76,-37.8203432,145.0144456,0,10112.76,"Spring","True",2.0449,"False"
"Thompson",9360,57.93,-37.8149433,144.9450349,5,8949.93,"Winter","True",0.3096,"False"
"Nickolson",23880,90.62,-37.8165753,144.9666375,15,20388.62,"Summer","True",0.3409,"True"
"Thompson",8240,83.26,-37.7995098,144.9353777,25,6263.26,"Spring","False",1.7901,"True"
"Bakers",9125,80.9,-37.8041347,144.9833648,25,6924.65,"Winter","True",1.2309,"True"
"Thompson",3750,80.04,-37.8160065,144.938349,10,3455.04,"Autumn","True",0.8519,"True"
"Nickolson",25110,63.97,-37.8133042,145.0198375,25,18896.47,"Winter","False",0.6836,"True"
"Nickolson",22175,66.13,-37.8242254,144.9840358,5,21132.38,"Winter","True",1.4195,"False"
"Bakers",11130,106.46,-37.8180481,145.0038283,15,9566.96,"Spring","True",1.1726,"True"
"Bakers",8635,65.36,-37.8165205,144.9859039,25,6541.61,"Autumn","False",1.0956,"True"
"Bakers",16300,100.36,-37.8168076,144.9994885,5,15585.36,"Spring","True",0.8456,"True"
"Bakers",19710,51.84,-37.8027598,145.0039589,0,19761.84,"Winter","False",1.1126,"False"
"Thompson",9870,75.92,-37.8143832,145.0146498,0,9945.92,"Spring","False",0.8212,"True"
"Nickolson",5590,77.5,-37.8152578,144.9634694,25,4270,"Autumn","True",0.6512,"True"
"Bakers",8790,72.01,-37.8150707,144.9889123,15,7543.51,"Summer","False",0.7925,"True"
"Nickolson",30140,100.55,-37.8126386,144.9735827,15,25719.55,"Spring","True",0.7519,"True"
"Bakers",13845,55.62,-37.8228581,145.0141013,5,13208.37,"Autumn","False",2.1916,"False"
"Thompson",69685,92.7,-37.8068271,144.9548986,0,31212.7,"Summer","True",0.9475,"True"
"Thompson",11570,91.79,-37.7891185,144.9380617,0,11661.79,"Spring","False",2.7391,"True"
"Thompson",13430,85.63,-37.8127283,145.0170324,0,13515.63,"Spring","True",0.4,"False"
"Thompson",5825,82.33,-37.8239148,144.9475744,25,4451.08,"Autumn","True",1.2522,"True"
"Thompson",27765,73.85,-37.8047366,144.9460673,10,25062.35,"Summer","False",0.8879,"True"
"Nickolson",20040,77.09,-37.8114445,145.0122973,25,15107.09,"Winter","True",0.798,"True"
"Nickolson",8125,80.74,-37.8149718,144.9602405,10,7393.24,"Autumn","True",0.9127,"True"
"Nickolson",9070,75.96,-37.8127114,144.9679761,0,9145.96,"Winter","True",0.6694,"True"
"Nickolson",23385,76.82,-37.8203616,144.979064,0,23461.82,"Spring","False",0.8593,"True"
"Thompson",15660,78.02,-37.8127256,144.9402147,10,14172.02,"Autumn","True",0.6028,"True"
"Bakers",8770,65.06,-37.8135169,144.9855861,15,7519.56,"Winter","False",0.9345,"True"
"Nickolson",8160,102.89,-37.8138985,144.9617555,15,7038.89,"Spring","True",0.8621,"True"
"Nickolson",11100,80.48,-37.8157863,144.9582671,10,10070.48,"Autumn","True",1.0404,"True"
"Bakers",11520,101.84,-37.8155823,144.9867456,0,11621.84,"Spring","True",0.5136,"True"
"Thompson",19860,76.79,-37.8198852,144.9577337,10,17950.79,"Summer","False",1.049,"True"
"Nickolson",1010,103.41,-37.808701,144.9729558,15,961.91,"Spring","True",1.1413,"True"
"Nickolson",4680,64.19,-37.8113458,144.9669715,10,4276.19,"Winter","False",0.8382,"True"
"Nickolson",8670,82.93,-37.8271233,144.9851161,0,8752.93,"Spring","False",1.6657,"True"
"Thompson",6545,77.52,-37.8064367,144.9520099,15,5640.77,"Winter","True",0.819,"True"
"Bakers",3085,77.6,-37.8235366,144.9808725,5,3008.35,"Winter","True",1.1374,"True"
"Nickolson",3405,59.2,-37.8094704,144.9727182,5,3293.95,"Summer","False",1.0532,"False"
"Bakers",15880,65.07,-37.806973,145.0055785,25,11975.07,"Winter","False",0.9702,"True"
"Bakers",2085,75.12,-37.8141653,144.9632906,0,2160.12,"Winter","True",0.7391,"True"
"Thompson",7550,65.44,-37.807684,144.9400828,15,6482.94,"Winter","False",0.8282,"True"
"Bakers",8070,73.19,-37.0449963,145.0058842,0,8143.19,"Summer","False",0.9594,"True"
"Bakers",6630,67,-37.814102,144.984733,25,5039.5,"Winter","False",1.0303,"True"
"Thompson",6770,77.13,-37.8130127,144.9389462,5,6508.63,"Spring","False",0.254,"True"
"Bakers",12700,75.7,-37.8047344,144.9882562,5,12140.7,"Winter","True",0.8482,"True"
"Nickolson",9340,83.45,-37.8024492,144.9634453,5,8956.45,"Autumn","True",1.8357,"True"
"Nickolson",5545,80.49,-37.8049554,144.9705524,25,4239.24,"Winter","True",1.5209,"True"
"Thompson",16980,103.77,-37.8043182,144.9500493,5,16234.77,"Spring","True",0.9663,"True"
"Thompson",16615,75.93,-37.8032642,144.9500603,5,15860.18,"Summer","False",1.0799,"True"
"Nickolson",13630,70.38,-37.8245985,144.9698135,0,13700.38,"Summer","False",0.6687,"True"
"Nickolson",10175,75.06,-37.8200867,144.9584,10,9232.56,"Summer","False",0.9945,"True"
"Thompson",24860,66.68,-37.8101542,144.9577029,5,23683.68,"Winter","False",0.9763,"True"
"Thompson",8725,87.96,-37.8223226,144.9334506,15,7504.21,"Summer","True",1.6087,"False"
"Nickolson",1010,62.3,-37.8177896,144.9688707,0,1072.3,"Autumn","False",0.1078,"True"
"Nickolson",8670,75.78,-37.8125168,144.9740097,0,8745.78,"Winter","True",0.782,"True"
"Thompson",4660,69.11,-37.8243601,144.9440946,10,4263.11,"Autumn","False",1.327,"True"
"Thompson",8995,58.32,-37.8084337,144.9454319,15,7704.07,"Spring","False",0.4934,"False"
"Bakers",24210,58.59,-37.8096666,144.9926783,10,21847.59,"Spring","False",0.2276,"False"
"Bakers",24225,82.39,-37.8016545,144.9785723,0,24307.39,"Winter","True",1.7347,"True"
"Thompson",18200,78.24,-37.8030333,144.946302,10,16458.24,"Spring","False",1.0752,"True"
"Thompson",5060,63.08,-37.8036771,144.9499644,0,5123.08,"Winter","True",1.0333,"False"
"Bakers",11230,46.89,-37.8109126,144.9904296,10,10153.89,"Winter","False",0.4345,"True"
"Thompson",6740,94.11,-37.8033989,144.9497761,25,5149.11,"Summer","True",1.0595,"True"
"Nickolson",22130,76.48,-37.8094864,144.963764,0,22206.48,"Summer","False",1.1345,"True"
"Thompson",4685,51.04,-37.80348,144.936364,25,3564.79,"Winter","False",1.3906,"False"
"Thompson",8790,85.53,-37.8012198,144.9630195,5,967408.88,"Spring","False",1.8957,"True"
"Nickolson",12690,64.79,-37.8040317,144.9695353,25,9582.29,"Summer","False",1.6211,"False"
"Thompson",3320,99.76,-37.8070107,144.9490826,15,2921.76,"Spring","True",0.6547,"True"
"Nickolson",24340,79.71,-37.8235722,144.9560719,10,21985.71,"Autumn","True",1.3084,"True"
"Thompson",4620,65.7,-37.8240565,145.0159049,10,4223.7,"Spring","False",1.3448,"False"
"Thompson",14390,80.69,-37.8149579,144.9275311,5,13751.19,"Autumn","False",1.7369,"True"
"Thompson",15260,110.17,-37.8148259,144.9270956,5,14607.17,"Spring","True",1.7728,"True"
"Bakers",6015,63.9,-37.8184877,144.99459,0,6078.9,"Autumn","True",0.9469,"False"
"Nickolson",15460,80.44,-37.8252348,144.9567953,25,11675.44,"Autumn","True",1.3433,"True"
"Nickolson",19205,66.23,-37.0201952,144.9633614,15,16390.48,"Autumn","True",1.4381,"False"
"Thompson",4675,114.04,-37.8049802,144.9249672,5,4555.29,"Spring","True",2.1241,"True"
"Bakers",22650,79.74,-37.8165343,145.0089471,15,19332.24,"Autumn","False",1.4087,"True"
"Bakers",19820,91.34,-37.80231,144.9803506,5,18920.34,"Spring","True",1.5637,"False"
"Nickolson",19525,97.32,-37.8158463,144.9724814,0,19622.32,"Spring","True",0.4,"True"
"Thompson",13550,78.11,-37.0645635,144.9534946,5,12950.61,"Autumn","True",0.5829,"True"
"Nickolson",6015,106.1,-37.8055127,144.9661838,15,5218.85,"Summer","True",1.4861,"True"
"Nickolson",14670,73.4,-37.814639,144.9690426,25,11075.9,"Winter","True",0.4426,"True"
"Nickolson",5630,68.55,-37.8198853,144.9650779,5,5417.05,"Summer","False",0.4187,"False"
"Bakers",15625,83,-37.8256755,144.9979215,10,14145.5,"Winter","True",1.7613,"False"
"Nickolson",21350,73.14,-37.817686,144.9662605,15,18220.64,"Winter","True",0.3065,"True"
"Thompson",7090,85.48,-37.8103235,144.9530079,10,6466.48,"Spring","True",0.5841,"False"
"Thompson",21570,60.84,-37.8147157,144.9400839,10,19473.84,"Spring","False",0.655,"False"
"Bakers",16280,79.35,-37.8157484,145.0091263,5,15545.35,"Spring","False",1.904,"True"
"Thompson",7200,65.82,-37.8123833,144.9620705,10,6545.82,"Winter","False",0.9544,"True"
"Thompson",27890,90.66,-37.814045,144.9396343,25,21008.16,"Summer","True",0.6714,"True"
"Nickolson",20510,100.72,-37.8126201,144.965171,10,18559.72,"Spring","True",0.7686,"True"
"Bakers",15075,79.79,-37.8013216,145.0010984,0,15154.79,"Autumn","True",1.0948,"True"
"Nickolson",28255,80.72,-37.8253884,145.0153092,25,21271.97,"Autumn","True",1.3443,"True"
"Thompson",6910,73.73,-37.8141301,144.949235,5,6638.23,"Spring","False",0.2502,"True"
"Thompson",24980,80.56,-37.8189215,144.9548983,25,18815.56,"Summer","True",0.9787,"False"
"Nickolson",22925,67.15,-37.8244678,144.9565472,25,17260.9,"Autumn","True",1.3171,"False"
"Thompson",17740,91.08,-37.8008011,144.953491,0,17831.08,"Spring","True",1.4372,"False"
"Bakers",5220,79.92,-37.8016497,144.9874269,5,5038.92,"Autumn","False",1.1552,"True"
"Thompson",865916,92.9,-37.8117454,144.9564037,15,19468.65,"Summer","True",0.8274,"True"
"Bakers",17530,79.05,-37.8164624,144.9860256,0,648477.6,"Spring","False",1.0833,"True"
"Nickolson",18200,94.13,-37.815026,144.9608825,10,16474.13,"Summer","True",0.8596,"True"
"Thompson",5500,66.16,-37.8060043,144.9572258,5,5291.16,"Winter","False",1.1615,"True"
"Thompson",26360,66.84,-37.8054636,144.9333753,10,23790.84,"Autumn","False",1.4472,"True"
"Thompson",18300,74.75,-37.8207552,144.9480634,0,18374.75,"Summer","False",0.9039,"True"
"Nickolson",3320,66.09,-37.8079991,144.9732055,15,2888.09,"Winter","False",1.2225,"True"
"Bakers",7760,79.46,-37.8182368,144.9961532,0,7839.46,"Autumn","True",0.9209,"True"
"Thompson",20535,83.99,37.8230927,144.9379385,15,17538.74,"Summer","True",1.4107,"False"
"Nickolson",6910,88.45,-37.8106277,144.9775804,25,5270.95,"Spring","True",1.1337,"False"
"Nickolson",8995,68.83,-37.8054323,144.9696279,10,8164.33,"Autumn","False",1.4652,"True"
"Thompson",4675,79.09,-37.8127191,144.9568527,25,3585.34,"Autumn","True",0.8604,"True"
"Thompson",2757,84.54,-37.8008617,144.9608163,5,4483.04,"Summer","False",1.7862,"True"
"Nickolson",22970,85.48,-37.8038468,144.9648389,10,20758.48,"Spring","False",1.6932,"False"
"Thompson",6810,78.96,-37.823947,144.9543146,10,6207.96,"Summer","False",1.4074,"True"
"Thompson",6780,107.48,-37.8017388,144.9574225,15,5870.48,"Spring","True",1.5201,"True"
"Nickolson",7725,65.28,-37.8188135,144.9641165,10,7017.78,"Autumn","False",0.4785,"True"
"Thompson",5700,80.75,-37.8019703,144.9584927,25,4355.75,"Winter","True",1.5585,"True"
"Thompson",11400,110.2,-37.8047649,144.9326798,10,10370.2,"Spring","True",1.5416,"True"
"Thompson",2600,81.84,-37.8155951,144.9580329,15,2291.84,"Summer","True",1.0176,"False"
"Nickolson",16390,103.7,-37.8176132,144.9591096,0,16493.7,"Spring","True",0.9247,"False"
"Bakers",4910,102.82,-37.8006194,145.0102248,25,3785.32,"Summer","True",1.6818,"True"
"Nickolson",18860,72.75,-37.819329,144.9611237,10,17046.75,"Summer","False",0.7455,"True"
"Thompson",16770,81.95,-37.8024197,144.934978,5,16013.45,"Autumn","True",48.5984,"True"
"Bakers",22130,108.92,-37.7989968,144.9778822,25,649193.76,"Spring","True",1.9565,"True"
"Bakers",27810,71.66,-37.8254016,145.0142044,15,23710.16,"Autumn","True",2.3926,"False"
"Thompson",20860,80.93,-37.8127528,144.9374607,15,17811.93,"Autumn","True",0.845,"True"
"Thompson",4680,80.02,-37.8063005,144.9416009,15,4058.02,"Autumn","True",0.857,"False"
"Thompson",2480,72.41,-37.8074988,144.9421199,25,1932.41,"Summer","False",66.8512,"True"
"Nickolson",18020,62.95,-37.8183099,144.9669939,10,16280.95,"Winter","False",0.2271,"True"
"Bakers",16150,62.7,-37.8036241,145.0079488,5,969651.79,"Summer","False",1.3244,"False"
"Nickolson",10460,65.47,-37.8094889,144.9679925,5,10002.47,"Autumn","True",1.0229,"False"
"Thompson",22220,53.8,-37.8026405,144.9577484,15,18940.8,"Winter","False",1.4593,"False"
"Thompson",19560,82.44,-37.8025531,144.9565899,10,17686.44,"Spring","False",1.4037,"True"
"Nickolson",14685,59.86,-37.8096417,144.971036,0,14744.86,"Summer","False",1.0052,"False"
"Nickolson",5910,74.5,-37.8233768,144.969933,15,5098,"Summer","True",0.5334,"False"
"Nickolson",18465,102.31,-37.8235063,144.9675756,0,18567.31,"Spring","True",0.5736,"True"
"Thompson",10660,63.64,-37.8019411,144.9487068,25,8058.64,"Winter","True",1.2033,"False"
"Bakers",6460,81.31,-37.8125849,145.0155287,5,6218.31,"Autumn","True",1.8081,"True"
"Thompson",21190,66.49,-37.8206696,144.9411187,15,33706.75,"Autumn","False",1.0325,"True"
"Thompson",7760,76.34,-37.811595,144.9456969,5,507327.39,"Autumn","True",0.1702,"True"
"Nickolson",20200,65.84,-37.8203732,144.9793657,0,20265.84,"Winter","False",0.8855,"True"
"Thompson",9070,74.52,-37.8146893,144.9504304,5,8691.02,"Winter","True",0.3712,"True"
"Thompson",10355,80.7,-37.8193442,144.9320883,5,9917.95,"Winter","True",1.5123,"True"
